Timeline,Start time,Duration,Row,Instance number,CROSSING,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,FIRST PHASE,Fouled,Goalkeeper Actions,OFFSIDE,Offsides,PEN AREA ENTRY,POSSESSION THIRDS,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,SECOND PHASE,SHOOTING,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,TRANSITION,Turnover,Ungrouped,Notes,Flags
Individual XML,5219.973253941326,14.0,Team Actions,424,,,,,,,,,,,,,,,,,,Seam 1,,,,,,,,,TURNOVER,,,
Individual XML,5222.463231292517,14.0,Team Actions,425,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5230.023231252834,14.0,Team Actions,426,,,,,,INTERCEPTION +,,,,,,,,Pass into F3,Complete,Complete,Around,,,,,,,,,,,,,
Individual XML,5235.783231221655,8.0,Team Actions,427,,,,,,,,,,,,,,,,,,Seam 3,,,,,,,,,,,,
Individual XML,5270.233231268424,14.0,Team Actions,428,,,,,,INTERCEPTION +,,,,,,,,Pass into F3,Complete,Complete,Through,,,,,,,,,,,,,
Individual XML,5272.153231258503,14.0,Team Actions,429,,,,,,,,,,,,,,,Incomplete,,Through,Seam 2,,,,,,,,,,,,
Individual XML,5283.793231196145,14.0,Team Actions,430,,,,,,,,,Sweeping Action,,,,,,,,,,,,,,,,,,,,,
Individual XML,5286.07323118339,14.0,Team Actions,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5292.073231152211,14.0,Team Actions,432,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5293.393231145124,8.0,Team Actions,433,,,,,,,,,,,,,,,,,,Seam 1,,,,,,,,,,,,
Individual XML,5297.953231121031,14.0,Team Actions,434,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5300.473231106859,8.0,Team Actions,435,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,,,,,,,,,,,,,
Individual XML,5305.393231079932,14.0,Team Actions,436,,CD Zone 00 L,CO Zone XAR,Teammate Found,Floated,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,5309.953231055839,14.0,Team Actions,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5317.033231018991,14.0,Team Actions,438,,,,,,Ground Duel +,,,,,,,,Pass into box,,Incomplete,,,,,,,,,,,,,,
Individual XML,5332.273230936791,14.0,Team Actions,439,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5334.313230925453,14.0,Team Actions,440,,,,,,,,,,,,,,,Complete,,Neutral,Seam 1,,,,,,,,,,,,
Individual XML,5338.75323090136,14.0,Team Actions,441,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5362.544886597222,14.0,Team Actions,442,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5365.064886584467,14.0,Team Actions,443,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5367.824886568877,14.0,Team Actions,444,,,,,,,,,Clearance,,,,,,,,,,,,,,,,,,,,,
Individual XML,5385.584886473923,14.0,Team Actions,445,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5389.064886455499,14.0,Team Actions,446,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,,,,
Individual XML,5390.641666667,14.0,Team Actions,447,,,,,,,,,,,,,,,Complete,,Through,Seam 1,,,,,,,,,,,,
Individual XML,5394.943333320578,8.0,Team Actions,448,,CD Gold Zone,CO Zone XAR,Teammate Found,Whipped,,,,,,,,,,,,,Seam 3,,,Assist,,,,SHOT ASSIST,,,,,
Individual XML,5396.98333330924,14.0,Team Actions,449,,,,,,,,,,,,,,,,,,,,,Goal,,SL Gold Zone,,"SHOT, SHOT ON TARGET",,,,,
Individual XML,5488.6299659807255,14.0,Team Actions,450,,,,,,,,,,,,,,,Complete,,Neutral,,,,,,,,,,,,,
Individual XML,5491.509965966553,14.0,Team Actions,451,,,,,,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,,,,
Individual XML,5494.009954648526,14.0,Team Actions,452,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,5496.049954640022,14.0,Team Actions,453,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,5500.249954617347,14.0,Team Actions,454,,,,,,,,,,,,,,,Complete,,Neutral,,,,,,,,,,,,,
Individual XML,5504.809954593254,14.0,Team Actions,455,,,,,,,,,,,,,,,Complete,,Through,Neutral,,,,,,,,,,,,
Individual XML,5507.809954576247,14.0,Team Actions,456,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 2,,,,,,,,,,,,
Individual XML,5512.489954552154,14.0,Team Actions,457,,,,,,,,,,,,,,Pass into box,Incomplete,Incomplete,Around,Seam 3,,,,,,,,,,,,
Individual XML,5523.259943282313,14.0,Team Actions,458,,,,,,Ground Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5526.79993196712,14.0,Team Actions,459,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5528.599931957199,14.0,Team Actions,460,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,5529.919931950113,14.0,Team Actions,461,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,5532.679931934524,8.0,Team Actions,462,,,,,,,,,,,,,,,Complete,,Around,Seam 2,,,,,,,,,,,,
Individual XML,5540.359931893424,8.0,Team Actions,463,,,,,,,,,,,,,,Pass into box,Complete,Complete,Through,Below,,,,,,,,,,,,
Individual XML,5555.40992055839,14.0,Team Actions,464,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5564.049920511621,14.0,Team Actions,465,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5565.489920504535,14.0,Team Actions,466,,,,,,,,,,,,,,Pass into F3,,"Incomplete, Incomplete",Through,Seam 2,,,,,,,,,,,,
Individual XML,5569.809920481859,8.0,Team Actions,467,,,,,,INTERCEPTION -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5620.313321988378,14.0,Team Actions,468,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5625.473321960034,14.0,Team Actions,469,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5628.113321945862,8.0,Team Actions,470,,,,,,Aerial Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5630.033321935941,14.0,Team Actions,471,,,,,,,,,,,,,,,Complete,,Through,,,,,,,,,,,,,
