Timeline,Start time,Duration,Row,Instance number,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,Fouled,Goalkeeper Actions,Offsides,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,Turnover,Ungrouped,Notes,Flags
INDIVIDUAL',911.7337722,14,Rebekah Stott,26,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',1087.647185,14,Rebekah Stott,27,,,,,,,,,,Complete,,Through,,,,,,,,,,
INDIVIDUAL',1114.229469,14,Rebekah Stott,28,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,
INDIVIDUAL',1137.727182,14,Rebekah Stott,29,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',1145.189588,14,Rebekah Stott,30,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',1150.195385,14,Rebekah Stott,31,,,,,,,,,,Complete,,Through,Seam 1,,,,,,,,,
INDIVIDUAL',1162.683043,14,Rebekah Stott,32,,,,,,,,,,,,,Below,,,,,,Turnover,,,
INDIVIDUAL',1411.76745,14,Rebekah Stott,33,,,,,,,,,,Incomplete,,Around,Neutral,,,,,,,,,
INDIVIDUAL',1445.49756,14,Rebekah Stott,34,,,,,,,,,Pass into F3,Complete,Complete,Around,Below,,,,,,,,,
INDIVIDUAL',1694.074836,14,Rebekah Stott,35,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',1782.884765,14,Rebekah Stott,36,,,,,Ground Duel -,,,,,,,,,,,,,,,,,
INDIVIDUAL',1789.619744,14,Rebekah Stott,37,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,
INDIVIDUAL',1796.34437,14,Rebekah Stott,38,,,,,,,,,Pass into F3,Complete,Complete,Through,Neutral,,,,,,,,,
INDIVIDUAL',1855.681138,14,Rebekah Stott,39,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',1882.295284,14,Rebekah Stott,40,,,,,,,,,,Complete,,Through,Seam 1,,,,,,,,,
INDIVIDUAL',1901.607589,14,Rebekah Stott,41,,,,,,,,,,,,,Seam 1,,,,,,,,,
INDIVIDUAL',1905.918394,14,Rebekah Stott,42,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',1971.820134,14,Rebekah Stott,43,,,,,,,,,,,,,Seam 1,,,,,,Turnover,,,
INDIVIDUAL',2195.667177,14,Rebekah Stott,44,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,
